track,cancer_type,interpretable_draws,s2_delta_nullmedian_B199_median_interpretable_only,s2_headroom_nullmedian_B199_median_interpretable_only
MASKED_TECHNICAL,COAD,100,0.24443508218853224,0.3943358361572674
MASKED_TECHNICAL,PRAD,95,0.3652779810819109,0.5552072515402352
MASKED_TECHNICAL,READ,100,0.1408561850363128,0.2708315490513605
MASKED_TECHNICAL,STAD,92,0.2950448259235209,0.45196414928974343
MASKED_TECHNICAL,UCEC,100,0.24610033427708483,0.493901395769318
PRIMARY_PUBLICATION,COAD,100,0.2477680597247631,0.3958213705551369
PRIMARY_PUBLICATION,PRAD,95,0.359132692770233,0.5530431002163566
PRIMARY_PUBLICATION,READ,100,0.14043458869867284,0.2720333325953159
PRIMARY_PUBLICATION,STAD,92,0.29220446992835153,0.45156084359880555
PRIMARY_PUBLICATION,UCEC,100,0.2446652814496497,0.49224202906335224
