cancer_type,original_n,cin_pairwise_median_abs_median,cin_pc1_variance_fraction_median,cout_eigengene_median_abs_median
ACC,78,0.17418325211483246,0.17034473960466406,0.24325387217962793
BLCA,404,0.18833966561173515,0.19891577495573703,0.2606318720142627
BRCA,1083,0.19610936931030276,0.20752616046261502,0.27063096483695603
CESC,301,0.17600020738698258,0.17226462834224385,0.23593662477370508
CHOL,36,0.19091429219937184,0.19942020735785687,0.23393224690128808
COAD,441,0.19814226011250297,0.2093364617759684,0.2779084057395862
DLBC,48,0.21189387317550987,0.24236918952098063,0.33676490191922936
ESCA,182,0.19253813735589786,0.201580995744581,0.27527920957775937
GBM,154,0.19926843064649918,0.20769203195144845,0.271288364389529
HNSC,514,0.19220757250741674,0.19497954660124728,0.270957834901992
KICH,65,0.20475841830023697,0.2126073055486239,0.2980060112459183
KIRC,515,0.2204134541597963,0.21904771955433827,0.29835343562188804
KIRP,285,0.2036664322949117,0.20437678400262,0.2831575700568214
LGG,514,0.21591405323119597,0.22491008257947784,0.30328302144561997
LIHC,368,0.20343437478035736,0.22675034389645787,0.270910839090384
LUAD,510,0.1787273967362784,0.17360885695616074,0.24631784921375738
LUSC,486,0.17914271158101872,0.1784925392749909,0.2552264547080361
MESO,87,0.18719423613285954,0.18235166026215768,0.25453384827283176
OV,300,0.1673986328749753,0.16935514017407088,0.2279361612764026
PAAD,156,0.20851199228889505,0.22115820870005376,0.30935197225929567
PCPG,178,0.19759299082856036,0.21874500271079705,0.26180192960524573
PRAD,493,0.21430588901552583,0.24349962793784727,0.30780525110797996
READ,156,0.20291452038325491,0.22457763370316539,0.2896724786664263
SARC,254,0.18529146330464943,0.18659966930595473,0.2642205795300063
SKCM,103,0.19200682064004806,0.2132159674547138,0.30926769625376543
STAD,401,0.19026665653321254,0.2011016693593187,0.288631373443399
TGCT,149,0.2743643239697224,0.2871873177990626,0.390331247408594
THCA,500,0.2284365536826537,0.24248091715234643,0.32557462101675333
THYM,120,0.27671578929849816,0.28802356609936447,0.4286980437966821
UCEC,528,0.18185872053476854,0.1887380097831654,0.2627910422989993
UCS,57,0.17749289661034057,0.17917076737831583,0.24015920220350412
UVM,80,0.24499534346058838,0.267091178931736,0.38171476886453204
