cancer_type,stage_a_n,purity_matched_n,purity_exact_sample_n,purity_fallback_n,leukocyte_matched_n,leukocyte_exact_sample_n,leukocyte_fallback_n,joint_independent_matched_n,cibersort_secondary_matched_n
ACC,78,76,76,0,78,78,0,76,78
BLCA,404,393,393,0,404,404,0,393,404
BRCA,1083,1020,1020,0,1067,1067,0,1007,1083
CESC,301,289,289,0,301,301,0,289,301
CHOL,36,36,36,0,36,36,0,36,36
COAD,441,389,389,0,439,439,0,388,441
DLBC,48,47,47,0,0,0,0,0,48
ESCA,182,161,161,0,182,182,0,161,182
GBM,154,144,142,2,126,126,0,119,154
HNSC,514,484,484,0,514,514,0,484,514
KICH,65,61,61,0,65,65,0,61,65
KIRC,515,328,328,0,514,514,0,328,515
KIRP,285,270,270,0,285,285,0,270,285
LGG,514,500,500,0,514,514,0,500,514
LIHC,368,354,354,0,368,368,0,354,368
LUAD,510,489,489,0,508,508,0,487,510
LUSC,486,464,464,0,485,485,0,463,486
MESO,87,81,81,0,87,87,0,81,87
OV,300,200,200,0,300,299,1,200,300
PAAD,156,142,142,0,156,156,0,142,156
PCPG,178,160,160,0,178,178,0,160,178
PRAD,493,468,468,0,493,493,0,468,493
READ,156,138,138,0,154,154,0,137,156
SARC,254,241,241,0,254,254,0,241,254
SKCM,103,103,103,0,103,103,0,103,103
STAD,401,386,386,0,401,401,0,386,401
TGCT,149,149,149,0,133,133,0,133,149
THCA,500,447,447,0,500,500,0,447,500
THYM,120,103,103,0,0,0,0,0,120
UCEC,528,491,491,0,528,528,0,491,528
UCS,57,56,56,0,57,57,0,56,57
UVM,80,80,80,0,80,80,0,80,80
