sample_root,source_column_count,source_labels_json
TCGA-06-0125-01A,2,"[""\""TCGA-06-0125-01A-01D-0218-05\"""",""\""TCGA-06-0125-01A-01D-A45W-05\"""]"
TCGA-06-0137-01A,3,"[""\""TCGA-06-0137-01A-01D-0218-05\"""",""\""TCGA-06-0137-01A-02D-0218-05\"""",""\""TCGA-06-0137-01A-03D-0218-05\"""]"
TCGA-06-0145-01A,6,"[""\""TCGA-06-0145-01A-01D-0218-05\"""",""\""TCGA-06-0145-01A-02D-0218-05\"""",""\""TCGA-06-0145-01A-03D-0218-05\"""",""\""TCGA-06-0145-01A-04D-0218-05\"""",""\""TCGA-06-0145-01A-05D-0218-05\"""",""\""TCGA-06-0145-01A-06D-0218-05\"""]"
TCGA-14-0736-01A,2,"[""\""TCGA-14-0736-01A-01D-0521-05\"""",""\""TCGA-14-0736-01A-01D-A45W-05\"""]"
TCGA-14-1402-01A,2,"[""\""TCGA-14-1402-01A-01D-0521-05\"""",""\""TCGA-14-1402-01A-01D-A45W-05\"""]"
TCGA-19-0957-01C,2,"[""\""TCGA-19-0957-01C-01D-0595-05\"""",""\""TCGA-19-0957-01C-01D-A45W-05\"""]"
TCGA-19-1389-01A,2,"[""\""TCGA-19-1389-01A-01D-0595-05\"""",""\""TCGA-19-1389-01A-01D-A45W-05\"""]"
TCGA-21-1076-01A,2,"[""\""TCGA-21-1076-01A-01D-0689-05\"""",""\""TCGA-21-1076-01A-02D-0689-05\"""]"
TCGA-44-2656-01A,2,"[""\""TCGA-44-2656-01A-02D-0945-05\"""",""\""TCGA-44-2656-01A-02D-A276-05\"""]"
TCGA-44-2665-01A,2,"[""\""TCGA-44-2665-01A-01D-0945-05\"""",""\""TCGA-44-2665-01A-01D-A276-05\"""]"
TCGA-44-2666-01A,2,"[""\""TCGA-44-2666-01A-01D-0945-05\"""",""\""TCGA-44-2666-01A-01D-A276-05\"""]"
TCGA-44-2668-01A,2,"[""\""TCGA-44-2668-01A-01D-0945-05\"""",""\""TCGA-44-2668-01A-01D-A276-05\"""]"
TCGA-44-3918-01A,2,"[""\""TCGA-44-3918-01A-01D-1104-05\"""",""\""TCGA-44-3918-01A-01D-A276-05\"""]"
TCGA-44-4112-01A,2,"[""\""TCGA-44-4112-01A-01D-1104-05\"""",""\""TCGA-44-4112-01A-01D-A276-05\"""]"
TCGA-44-5645-01A,2,"[""\""TCGA-44-5645-01A-01D-1626-05\"""",""\""TCGA-44-5645-01A-01D-A276-05\"""]"
TCGA-44-6146-01A,2,"[""\""TCGA-44-6146-01A-11D-1756-05\"""",""\""TCGA-44-6146-01A-11D-A276-05\"""]"
TCGA-44-6775-01A,2,"[""\""TCGA-44-6775-01A-11D-1856-05\"""",""\""TCGA-44-6775-01A-11D-A276-05\"""]"
TCGA-A6-2677-01A,2,"[""\""TCGA-A6-2677-01A-01D-0820-05\"""",""\""TCGA-A6-2677-01A-01D-A27A-05\"""]"
TCGA-A6-2684-01A,2,"[""\""TCGA-A6-2684-01A-01D-1407-05\"""",""\""TCGA-A6-2684-01A-01D-A27A-05\"""]"
TCGA-A6-3809-01A,2,"[""\""TCGA-A6-3809-01A-01D-1020-05\"""",""\""TCGA-A6-3809-01A-01D-A27A-05\"""]"
TCGA-A6-3810-01A,2,"[""\""TCGA-A6-3810-01A-01D-1020-05\"""",""\""TCGA-A6-3810-01A-01D-A27A-05\"""]"
TCGA-A6-5656-01A,2,"[""\""TCGA-A6-5656-01A-21D-1837-05\"""",""\""TCGA-A6-5656-01A-21D-A27A-05\"""]"
TCGA-A6-5659-01A,2,"[""\""TCGA-A6-5659-01A-01D-1651-05\"""",""\""TCGA-A6-5659-01A-01D-A27A-05\"""]"
TCGA-A6-6650-01A,2,"[""\""TCGA-A6-6650-01A-11D-1772-05\"""",""\""TCGA-A6-6650-01A-11D-A27A-05\"""]"
TCGA-A6-6780-01A,2,"[""\""TCGA-A6-6780-01A-11D-1837-05\"""",""\""TCGA-A6-6780-01A-11D-A27A-05\"""]"
TCGA-A6-6781-01A,2,"[""\""TCGA-A6-6781-01A-22D-1926-05\"""",""\""TCGA-A6-6781-01A-22D-A27A-05\"""]"
TCGA-A7-A26E-01A,2,"[""\""TCGA-A7-A26E-01A-11D-A16A-05\"""",""\""TCGA-A7-A26E-01A-11D-A27B-05\"""]"
TCGA-A7-A26J-01A,2,"[""\""TCGA-A7-A26J-01A-11D-A16A-05\"""",""\""TCGA-A7-A26J-01A-11D-A27B-05\"""]"
TCGA-AG-A026-01A,2,"[""\""TCGA-AG-A026-01A-01D-A00B-05\"""",""\""TCGA-AG-A026-01A-32D-A081-05\"""]"
TCGA-AK-3440-01A,2,"[""\""TCGA-AK-3440-01A-01D-0859-05\"""",""\""TCGA-AK-3440-01A-02D-1275-05\"""]"
TCGA-AK-3453-01A,2,"[""\""TCGA-AK-3453-01A-01D-0859-05\"""",""\""TCGA-AK-3453-01A-02D-1275-05\"""]"
TCGA-B2-3924-01A,2,"[""\""TCGA-B2-3924-01A-01D-1186-05\"""",""\""TCGA-B2-3924-01A-02D-A27A-05\"""]"
TCGA-B2-5633-01A,2,"[""\""TCGA-B2-5633-01A-01D-1536-05\"""",""\""TCGA-B2-5633-01A-01D-A27A-05\"""]"
TCGA-B2-5635-01A,2,"[""\""TCGA-B2-5635-01A-01D-1536-05\"""",""\""TCGA-B2-5635-01A-01D-A27A-05\"""]"
TCGA-BK-A0CA-01A,2,"[""\""TCGA-BK-A0CA-01A-21D-A123-05\"""",""\""TCGA-BK-A0CA-01A-21D-A27B-05\"""]"
TCGA-BK-A0CC-01A,2,"[""\""TCGA-BK-A0CC-01A-21D-A00U-05\"""",""\""TCGA-BK-A0CC-01A-21D-A27B-05\"""]"
TCGA-BK-A139-01A,2,"[""\""TCGA-BK-A139-01A-11D-A123-05\"""",""\""TCGA-BK-A139-01A-11D-A27B-05\"""]"
TCGA-BK-A26L-01A,2,"[""\""TCGA-BK-A26L-01A-11D-A16G-05\"""",""\""TCGA-BK-A26L-01A-11D-A27B-05\"""]"
TCGA-BL-A0C8-01A,2,"[""\""TCGA-BL-A0C8-01A-11D-A10W-05\"""",""\""TCGA-BL-A0C8-01A-11D-A276-05\"""]"
TCGA-BL-A13I-01A,2,"[""\""TCGA-BL-A13I-01A-11D-A13Z-05\"""",""\""TCGA-BL-A13I-01A-11D-A276-05\"""]"
TCGA-BL-A13J-01A,2,"[""\""TCGA-BL-A13J-01A-11D-A10W-05\"""",""\""TCGA-BL-A13J-01A-11D-A276-05\"""]"
