cancer_type,stage_a_n,unique_one_to_one_matched_n,excluded_or_unmatched_n,passes_n30
ACC,78,78,0,True
BLCA,404,402,2,True
BRCA,1083,1065,18,True
CESC,301,301,0,True
CHOL,36,36,0,True
COAD,441,430,11,True
DLBC,48,48,0,True
ESCA,182,182,0,True
GBM,154,125,29,True
HNSC,514,514,0,True
KICH,65,65,0,True
KIRC,515,509,6,True
KIRP,285,285,0,True
LGG,514,514,0,True
LIHC,368,368,0,True
LUAD,510,499,11,True
LUSC,486,484,2,True
MESO,87,87,0,True
OV,300,300,0,True
PAAD,156,156,0,True
PCPG,178,178,0,True
PRAD,493,493,0,True
READ,156,153,3,True
SARC,254,254,0,True
SKCM,103,103,0,True
STAD,401,401,0,True
TGCT,149,149,0,True
THCA,500,500,0,True
THYM,120,120,0,True
UCEC,528,524,4,True
UCS,57,57,0,True
UVM,80,80,0,True
