cancer_type,stage_a_n,methylation_matched_n,passes_n30
ACC,78,78,true
BLCA,404,404,true
BRCA,1083,1067,true
CESC,301,301,true
CHOL,36,36,true
COAD,441,439,true
DLBC,48,48,true
ESCA,182,182,true
GBM,154,126,true
HNSC,514,514,true
KICH,65,65,true
KIRC,515,514,true
KIRP,285,285,true
LGG,514,514,true
LIHC,368,368,true
LUAD,510,508,true
LUSC,486,485,true
MESO,87,87,true
OV,300,300,true
PAAD,156,156,true
PCPG,178,178,true
PRAD,493,493,true
READ,156,154,true
SARC,254,254,true
SKCM,103,103,true
STAD,401,401,true
TGCT,149,149,true
THCA,500,500,true
THYM,120,120,true
UCEC,528,528,true
UCS,57,57,true
UVM,80,80,true
