stage_id,accession,filename,url,listing_error
D1,GSE216989,GSE216989_RAW.tar,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE216nnn/GSE216989/suppl/GSE216989_RAW.tar,
D1,GSE216989,filelist.txt,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE216nnn/GSE216989/suppl/filelist.txt,
D1,GSE216989,index.html,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE216nnn/GSE216989/suppl/index.html,
D1,GSE216986,GSE216986_Matrix_processed_TamR_AZA.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE216nnn/GSE216986/suppl/GSE216986_Matrix_processed_TamR_AZA.tsv.gz,
D1,GSE216986,GSE216986_RAW.tar,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE216nnn/GSE216986/suppl/GSE216986_RAW.tar,
D1,GSE216986,filelist.txt,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE216nnn/GSE216986/suppl/filelist.txt,
D1,GSE216986,index.html,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE216nnn/GSE216986/suppl/index.html,
D2,GSE20945,GSE20945_GSM843835_GSM843843_signals.txt.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE20nnn/GSE20945/suppl/GSE20945_GSM843835_GSM843843_signals.txt.gz,
D2,GSE20945,GSE20945_RAW.tar,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE20nnn/GSE20945/suppl/GSE20945_RAW.tar,
D2,GSE20945,GSE20945_signals.txt.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE20nnn/GSE20945/suppl/GSE20945_signals.txt.gz,
D2,GSE20945,filelist.txt,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE20nnn/GSE20945/suppl/filelist.txt,
D2,GSE20945,index.html,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE20nnn/GSE20945/suppl/index.html,
D3,GSE231780,GSE231780_RAW.tar,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE231nnn/GSE231780/suppl/GSE231780_RAW.tar,
D3,GSE231780,filelist.txt,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE231nnn/GSE231780/suppl/filelist.txt,
D3,GSE231780,index.html,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE231nnn/GSE231780/suppl/index.html,
D3,GSE231778,GSE231778_RAW.tar,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE231nnn/GSE231778/suppl/GSE231778_RAW.tar,
D3,GSE231778,filelist.txt,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE231nnn/GSE231778/suppl/filelist.txt,
D3,GSE231778,index.html,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE231nnn/GSE231778/suppl/index.html,
D4,GSE91071,GSE91071_RAW.tar,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE91nnn/GSE91071/suppl/GSE91071_RAW.tar,
D4,GSE91071,filelist.txt,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE91nnn/GSE91071/suppl/filelist.txt,
D4,GSE91071,index.html,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE91nnn/GSE91071/suppl/index.html,
D4,GSE91069,GSE91069_RAW.tar,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE91nnn/GSE91069/suppl/GSE91069_RAW.tar,
D4,GSE91069,GSE91069_unmethylated_and_methylated_signal.txt.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE91nnn/GSE91069/suppl/GSE91069_unmethylated_and_methylated_signal.txt.gz,
D4,GSE91069,filelist.txt,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE91nnn/GSE91069/suppl/filelist.txt,
D4,GSE91069,index.html,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE91nnn/GSE91069/suppl/index.html,
