gate,quantity,value,unit_or_test,status
H1_COMPOSITION,cancers_positive,30/30,direction,R1_H1_MEASURED_COMPOSITION_ROBUST
H1_COMPOSITION,median_delta,0.0999769955,S_raw_minus_comp_preserving_null,R1_H1_MEASURED_COMPOSITION_ROBUST
H1_COMPOSITION,q25_delta,0.0727836524,S_raw_minus_comp_preserving_null,R1_H1_MEASURED_COMPOSITION_ROBUST
H1_COMPOSITION,q75_delta,0.1097330090,S_raw_minus_comp_preserving_null,R1_H1_MEASURED_COMPOSITION_ROBUST
H1_COMPOSITION,sign_p_two_sided,1.862645149230957e-09,exact_sign_test,R1_H1_MEASURED_COMPOSITION_ROBUST
H1_COMP_TSS,cancers_positive,30/30,direction,R1_H1_COMP_TSS_ROBUST
H1_COMP_TSS,median_delta,0.0816210492,S_raw_minus_comp_TSS_preserving_null,R1_H1_COMP_TSS_ROBUST
H1_COMP_TSS,q25_delta,0.0595816872,S_raw_minus_comp_TSS_preserving_null,R1_H1_COMP_TSS_ROBUST
H1_COMP_TSS,q75_delta,0.0951032242,S_raw_minus_comp_TSS_preserving_null,R1_H1_COMP_TSS_ROBUST
H1_COMP_TSS,sign_p_two_sided,1.862645149230957e-09,exact_sign_test,R1_H1_COMP_TSS_ROBUST
PCA_COMP_TSS,cancers_positive,30/30,direction,SECONDARY_CONVENTIONAL_COMPARATOR
PCA_COMP_TSS,median_delta,0.0685775794,PC1_fraction_raw_minus_null,SECONDARY_CONVENTIONAL_COMPARATOR
PCA_COMP_TSS,sign_p_two_sided,1.862645149230957e-09,exact_sign_test,SECONDARY_CONVENTIONAL_COMPARATOR
P1_PRECISION_450K,H1_p,0.0001,B9999_upper_tail,R1_P1_PRECISION_CONCORDANT
P1_PRECISION_450K,H1_BH_q,0.0003,BH_H1_H2_H3a,R1_P1_PRECISION_CONCORDANT
P1_PRECISION_450K,H2_BH_q,0.4428,BH_H1_H2_H3a,NO_DETECTABLE_TRANSPORT
P1_PRECISION_450K,H3a_BH_q,0.8212,BH_H1_H2_H3a,NO_TRANSPORT
P1_PRECISION_EPIC,H1_p,0.0001,B9999_upper_tail,R1_P1_PRECISION_CONCORDANT
P1_PRECISION_EPIC,H1_BH_q,0.0003,BH_H1_H2_H3a,R1_P1_PRECISION_CONCORDANT
P1_PRECISION_EPIC,H2_BH_q,0.6662,BH_H1_H2_H3a,NO_DETECTABLE_TRANSPORT
P1_PRECISION_EPIC,H3a_BH_q,0.52575,BH_H1_H2_H3a,NO_DETECTABLE_TRANSPORT
TN_HALLMARK_BREADTH_A1,Cin_pair_lower,49/50,Hallmark_median_direction,POSTHOC_DESCRIPTIVE
TN_HALLMARK_BREADTH_A1,Cin_PC1_lower,47/50,Hallmark_median_direction,POSTHOC_DESCRIPTIVE
TN_HALLMARK_BREADTH_A1,Cout_lower,50/50,Hallmark_median_direction,POSTHOC_DESCRIPTIVE
TN_HALLMARK_BREADTH_P20,Cin_pair_lower,48/50,Hallmark_median_direction,POSTHOC_DESCRIPTIVE
TN_HALLMARK_BREADTH_P20,Cin_PC1_lower,48/50,Hallmark_median_direction,POSTHOC_DESCRIPTIVE
TN_HALLMARK_BREADTH_P20,Cout_lower,50/50,Hallmark_median_direction,POSTHOC_DESCRIPTIVE
TN_LEUKOCYTE,symmetric_n30_cancers,0/12,availability,NO_SYMMETRIC_LEUKOCYTE_ROUTE
TN_LEUKOCYTE,paired_n20_cancers,0/13,availability,NO_SYMMETRIC_LEUKOCYTE_ROUTE
